Spec       Vlos   Elem   Rest_lam app  linecen   lowbound  highbound
d30010  -156.370  14.0  3905.520  54  3903.483  3902.483  3904.483
d30011  -157.290  14.0  3905.520  54  3903.471  3902.471  3904.471
d30012  -157.343  14.0  3905.520  54  3903.470  3902.470  3904.470
d30014  -156.857  14.0  3905.520  54  3903.477  3902.477  3904.477
d30015  -155.282  14.0  3905.520  54  3903.497  3902.497  3904.497
d30016  -153.756  14.0  3905.520  54  3903.517  3902.517  3904.517
d30017  -151.970  14.0  3905.520  54  3903.540  3902.540  3904.540
d30019  -149.222  14.0  3905.520  54  3903.576  3902.576  3904.576
d30020  -147.589  14.0  3905.520  54  3903.597  3902.597  3904.597
d30021  -145.672  14.0  3905.520  54  3903.622  3902.622  3904.622
d30022  -143.943  14.0  3905.520  54  3903.645  3902.645  3904.645
d30024  -141.619  14.0  3905.520  54  3903.675  3902.675  3904.675
d30025  -140.295  14.0  3905.520  54  3903.692  3902.692  3904.692
d30026  -138.513  14.0  3905.520  54  3903.715  3902.715  3904.715
d30027  -137.125  14.0  3905.520  54  3903.734  3902.734  3904.734
d30029  -135.791  14.0  3905.520  54  3903.751  3902.751  3904.751
d30030  -133.815  14.0  3905.520  54  3903.777  3902.777  3904.777
d30031  -132.524  14.0  3905.520  54  3903.794  3902.794  3904.794
d30032  -131.435  14.0  3905.520  54  3903.808  3902.808  3904.808
d30034  -130.343  14.0  3905.520  54  3903.822  3902.822  3904.822
d30035  -130.128  14.0  3905.520  54  3903.825  3902.825  3904.825
d30036  -129.879  14.0  3905.520  54  3903.828  3902.828  3904.828
d30037  -130.543  14.0  3905.520  54  3903.819  3902.819  3904.819
d30039  -133.432  14.0  3905.520  54  3903.782  3902.782  3904.782
d30040  -135.747  14.0  3905.520  54  3903.751  3902.751  3904.751
d40043  -136.469  14.0  3905.520  54  3903.742  3902.742  3904.742
d40044  -134.786  14.0  3905.520  54  3903.764  3902.764  3904.764
d40045  -133.674  14.0  3905.520  54  3903.779  3902.779  3904.779
d40046  -132.485  14.0  3905.520  54  3903.794  3902.794  3904.794
d40048  -131.485  14.0  3905.520  54  3903.807  3902.807  3904.807
d40049  -130.963  14.0  3905.520  54  3903.814  3902.814  3904.814
d40050  -130.490  14.0  3905.520  54  3903.820  3902.820  3904.820
d40051  -131.117  14.0  3905.520  54  3903.812  3902.812  3904.812
d40053  -132.360  14.0  3905.520  54  3903.796  3902.796  3904.796
d40054  -134.132  14.0  3905.520  54  3903.773  3902.773  3904.773
d40055  -136.354  14.0  3905.520  54  3903.744  3902.744  3904.744
d40056  -139.971  14.0  3905.520  54  3903.697  3902.697  3904.697
d40057  -145.999  14.0  3905.520  54  3903.618  3902.618  3904.618
d40059  -152.110  14.0  3905.520  54  3903.539  3902.539  3904.539
d40060  -154.953  14.0  3905.520  54  3903.501  3902.501  3904.501
d40061  -155.664  14.0  3905.520  54  3903.492  3902.492  3904.492
d40062  -156.587  14.0  3905.520  54  3903.480  3902.480  3904.480
d40064  -156.182  14.0  3905.520  54  3903.485  3902.485  3904.485
d40065  -155.294  14.0  3905.520  54  3903.497  3902.497  3904.497
d40066  -154.133  14.0  3905.520  54  3903.512  3902.512  3904.512
d40067  -152.178  14.0  3905.520  54  3903.538  3902.538  3904.538
d40069  -149.619  14.0  3905.520  54  3903.571  3902.571  3904.571
d40070  -148.056  14.0  3905.520  54  3903.591  3902.591  3904.591
d40071  -146.048  14.0  3905.520  54  3903.617  3902.617  3904.617
d40072  -144.348  14.0  3905.520  54  3903.640  3902.640  3904.640
d40074  -142.057  14.0  3905.520  54  3903.669  3902.669  3904.669
d40075  -140.871  14.0  3905.520  54  3903.685  3902.685  3904.685
d40076  -139.777  14.0  3905.520  54  3903.699  3902.699  3904.699
d50042  -157.392  14.0  3905.520  54  3903.470  3902.470  3904.470
d50043  -156.407  14.0  3905.520  54  3903.482  3902.482  3904.482
d50044  -155.517  14.0  3905.520  54  3903.494  3902.494  3904.494
d50045  -154.025  14.0  3905.520  54  3903.513  3902.513  3904.513
d50047  -151.874  14.0  3905.520  54  3903.542  3902.542  3904.542
d50048  -149.815  14.0  3905.520  54  3903.568  3902.568  3904.568
d50049  -148.265  14.0  3905.520  54  3903.589  3902.589  3904.589
d50050  -146.356  14.0  3905.520  54  3903.614  3902.614  3904.614
d50052  -144.401  14.0  3905.520  54  3903.639  3902.639  3904.639
d50053  -142.467  14.0  3905.520  54  3903.664  3902.664  3904.664
d50054  -140.811  14.0  3905.520  54  3903.686  3902.686  3904.686
d50055  -139.233  14.0  3905.520  54  3903.706  3902.706  3904.706
d50057  -137.775  14.0  3905.520  54  3903.725  3902.725  3904.725
d50058  -136.216  14.0  3905.520  54  3903.745  3902.745  3904.745
d50059  -135.101  14.0  3905.520  54  3903.760  3902.760  3904.760
d50060  -133.599  14.0  3905.520  54  3903.780  3902.780  3904.780
d50062  -132.477  14.0  3905.520  54  3903.794  3902.794  3904.794
d50063  -131.016  14.0  3905.520  54  3903.813  3902.813  3904.813
d50064  -130.203  14.0  3905.520  54  3903.824  3902.824  3904.824
d50065  -129.480  14.0  3905.520  54  3903.833  3902.833  3904.833
d50067  -129.761  14.0  3905.520  54  3903.830  3902.830  3904.830
d50068  -130.675  14.0  3905.520  54  3903.818  3902.818  3904.818
d50069  -132.578  14.0  3905.520  54  3903.793  3902.793  3904.793
d50070  -134.722  14.0  3905.520  54  3903.765  3902.765  3904.765
d50072  -139.210  14.0  3905.520  54  3903.706  3902.706  3904.706
d50073  -145.916  14.0  3905.520  54  3903.619  3902.619  3904.619
d50074  -152.926  14.0  3905.520  54  3903.528  3902.528  3904.528
d50075  -154.943  14.0  3905.520  54  3903.501  3902.501  3904.501
d10006  -152.461  22.1  3913.460  54  3911.470  3910.470  3912.470
d10007  -156.877  22.1  3913.460  54  3911.412  3910.412  3912.412
d10008  -158.951  22.1  3913.460  54  3911.385  3910.385  3912.385
d10009  -159.293  22.1  3913.460  54  3911.381  3910.381  3912.381
d10011  -158.495  22.1  3913.460  54  3911.391  3910.391  3912.391
d10012  -157.286  22.1  3913.460  54  3911.407  3910.407  3912.407
d10013  -155.579  22.1  3913.460  54  3911.429  3910.429  3912.429
d10014  -153.762  22.1  3913.460  54  3911.453  3910.453  3912.453
d10016  -151.306  22.1  3913.460  54  3911.485  3910.485  3912.485
d10017  -149.237  22.1  3913.460  54  3911.512  3910.512  3912.512
d10018  -147.109  22.1  3913.460  54  3911.540  3910.540  3912.540
d10019  -145.733  22.1  3913.460  54  3911.557  3910.557  3912.557
d10021  -143.520  22.1  3913.460  54  3911.586  3910.586  3912.586
d10022  -142.055  22.1  3913.460  54  3911.605  3910.605  3912.605
d10023  -140.392  22.1  3913.460  54  3911.627  3910.627  3912.627
d10024  -139.068  22.1  3913.460  54  3911.645  3910.645  3912.645
d10026  -137.285  22.1  3913.460  54  3911.668  3910.668  3912.668
d10027  -137.382  22.1  3913.460  54  3911.667  3910.667  3912.667
d10028  -134.076  22.1  3913.460  54  3911.710  3910.710  3912.710
d10029  -133.674  22.1  3913.460  54  3911.715  3910.715  3912.715
d20011  -141.894  22.1  3913.460  54  3911.608  3910.608  3912.608
d20012  -140.718  22.1  3913.460  54  3911.623  3910.623  3912.623
